,state,total,Obama,Romney,winner,voters
0,PA,41973,35.48233388130465,63.11200057179616,Romney,61156
1,PA,614671,56.64021891385799,42.1858197312058,Obama,924351
2,PA,28322,30.69698467622344,67.90127815832216,Romney,42147
3,PA,80015,46.032618883959245,52.637630444291716,Romney,115157
4,PA,21444,22.057451967916432,76.9865696698377,Romney,32189
5,PA,163253,48.939376305489034,49.52864572167129,Romney,250356
6,PA,47631,32.575423568684265,66.13340051647036,Romney,85328
7,PA,22501,36.84725123327852,61.450602195457975,Romney,40490
8,PA,319407,49.96697004135789,48.80168562367137,Obama,435606
9,PA,88924,31.92051639602357,66.81660744006118,Romney,122762
10,PA,57718,40.16251429363457,57.97844693163311,Romney,86988
11,PA,1967,34.4178952719878,64.26029486527707,Romney,3651
12,PA,24232,45.55959062396831,52.45130406074612,Romney,39017
13,PA,68801,48.94841644743536,48.97748579235768,Romney,112949
14,PA,248295,49.228538633480326,49.650617209367894,Romney,337822
15,PA,15227,31.06981020555592,67.17015827149143,Romney,24120
16,PA,31894,34.78083652097573,63.65774126795011,Romney,51174
17,PA,12663,43.45731659164496,54.81323541025034,Romney,22969
18,PA,24305,42.888294589590615,55.3178358362477,Romney,39888
19,PA,33089,39.360512557043116,58.92290489286472,Romney,54711
20,PA,109964,39.9976355898294,58.53279255028918,Romney,158194
21,PA,122625,52.36207951070336,46.35107033639144,Obama,178924
22,PA,272853,60.40065529790767,38.58121406031819,Obama,397338
23,PA,12425,41.400402414486926,57.13480885311871,Romney,20302
24,PA,112732,57.77951247205762,40.89522052301032,Obama,176851
25,PA,48196,45.317038758403186,53.624782139596654,Romney,91681
26,PA,2308,38.73483535528596,59.83535528596187,Romney,3232
27,PA,62802,30.110506034839656,68.5838030635967,Romney,87406
28,PA,6148,21.09629147690306,77.74886141834743,Romney,9344
29,PA,13726,40.536208655107096,58.17426781290981,Romney,22663
30,PA,17587,30.60783533291637,67.96497412861773,Romney,28824
31,PA,36180,39.80928689883913,58.55997788833611,Romney,57378
32,PA,17072,26.563964386129328,71.97750702905344,Romney,28549
33,PA,9480,26.719409282700425,71.95147679324894,Romney,13547
34,PA,97116,63.129659376415844,35.76135755179373,Obama,149474
35,PA,219677,39.65276292010543,58.888276879236344,Romney,314567
36,PA,38816,44.896434460016486,53.882419620774925,Romney,61709
37,PA,53771,35.28853843149653,63.24970709118298,Romney,81476
38,PA,144922,53.15204040794358,45.60453209312596,Obama,226453
39,PA,123741,51.69992161046056,46.847043421339734,Obama,194137
40,PA,46214,32.68273683299433,65.97567836586315,Romney,68064
41,PA,15014,35.03396829625683,63.23431463966964,Romney,25861
42,PA,48065,48.022469572453964,50.56486008530116,Romney,75238
43,PA,16311,26.111213291643683,72.91398442768684,Romney,24445
44,PA,59312,56.364647963312656,42.31858645805233,Obama,108879
45,PA,401787,56.63722320533019,42.28683357102146,Obama,551105
46,PA,7787,38.85963785796841,59.535122640297935,Romney,13518
47,PA,125883,51.64637004202314,47.061159966000176,Obama,209414
48,PA,31512,39.32470170093932,58.75856816450876,Romney,54978
49,PA,18240,29.76973684210527,68.59100877192985,Romney,27245
50,PA,653598,85.2242509922001,14.051450585834106,Obama,1099197
51,PA,23164,43.90433431186324,54.88257641167329,Romney,41840
52,PA,7205,26.259541984732827,72.15822345593337,Romney,10913
53,PA,57505,42.52325884705678,55.91861577254152,Romney,86316
54,PA,14962,31.22577195562091,67.17016441652187,Romney,21573
55,PA,33875,27.80811808118081,70.65682656826569,Romney,51860
56,PA,2934,35.03749147920927,63.36059986366735,Romney,4242
57,PA,17930,38.432794199665366,59.87172336865589,Romney,26163
58,PA,15943,31.69416044659098,66.48058709151353,Romney,26001
59,PA,16187,37.455983196392175,60.93161178723668,Romney,23950
60,PA,20775,35.951865222623354,62.22864019253911,Romney,32773
61,PA,16462,41.112865994411365,57.192321710606244,Romney,29111
62,PA,90078,42.74406625369125,56.01256688647617,Romney,142331
63,PA,20966,38.815224649432416,59.768196127062865,Romney,32577
64,PA,168709,37.56764606511804,61.306154384176295,Romney,238006
65,PA,11214,42.91064740502943,55.18994114499732,Romney,17255
66,PA,186394,38.695451570329524,59.8602959322725,Romney,280280
